samp.loc,time_gmt,precip_in,time_cst,precip_cm,date,hour,night,dep_site
13030,2016-06-08T23:00:00Z,0.02,2016-06-08T23:00:00Z,0.050800000000000005,2016-06-08,18,2016-06-08,016
13146,2016-06-08T23:00:00Z,0.02,2016-06-08T23:00:00Z,0.050800000000000005,2016-06-08,18,2016-06-08,016
13210,2016-06-08T23:00:00Z,0.02,2016-06-08T23:00:00Z,0.050800000000000005,2016-06-08,18,2016-06-08,016
13254,2016-06-08T23:00:00Z,0.02,2016-06-08T23:00:00Z,0.050800000000000005,2016-06-08,18,2016-06-08,016
13030,2016-06-09T00:00:00Z,0.04,2016-06-09T00:00:00Z,0.10160000000000001,2016-06-08,19,2016-06-08,016
13146,2016-06-09T00:00:00Z,0.04,2016-06-09T00:00:00Z,0.10160000000000001,2016-06-08,19,2016-06-08,016
13210,2016-06-09T00:00:00Z,0.04,2016-06-09T00:00:00Z,0.10160000000000001,2016-06-08,19,2016-06-08,016
13254,2016-06-09T00:00:00Z,0.04,2016-06-09T00:00:00Z,0.10160000000000001,2016-06-08,19,2016-06-08,016
12963,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
12979,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13002,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13027,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13036,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13038,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13043,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13062,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13066,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13067,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13091,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13094,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13100,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13114,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13126,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13130,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13194,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13251,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
13267,2016-06-10T07:00:00Z,0.02,2016-06-10T07:00:00Z,0.050800000000000005,2016-06-10,2,2016-06-09,016
02601,2016-06-22T06:00:00Z,0.01,2016-06-22T06:00:00Z,0.025400000000000002,2016-06-22,1,2016-06-21,004
02614,2016-06-22T06:00:00Z,0.01,2016-06-22T06:00:00Z,0.025400000000000002,2016-06-22,1,2016-06-21,004
02617,2016-06-22T06:00:00Z,0.01,2016-06-22T06:00:00Z,0.025400000000000002,2016-06-22,1,2016-06-21,004
02678,2016-06-22T06:00:00Z,0.01,2016-06-22T06:00:00Z,0.025400000000000002,2016-06-22,1,2016-06-21,004
02726,2016-06-22T06:00:00Z,0.01,2016-06-22T06:00:00Z,0.025400000000000002,2016-06-22,1,2016-06-21,004
